Start,End,Max,Area
-221,-206,,340
-206,9,,568
9,23,,
25,220,,492
220,265,262,224
221,263,262,80
222,280,262,116
265,317,281,416
317,420,382,192
351,394,366,44
386,556,449,196
420,479,449,228
479,502,497,204
502,587,546,220
557,589,572,108
581,619,612,416
618,907,669,1076
907,923,908,54
947,979,949,98
923,936,934,109
936,946,943,100
951,960,959,105
916,1125,1111,476
960,1127,1111,264
1129,1279,1142,176
1115,1234,1142,404
1032,1227,1111,44
1206,1381,1330,1372
1368,1661,1433,468
1616,1911,1820,1216
,,,
Note: Area is measured in units of 10^4 kilometers squared.,,,
